breed_name,akc_group,popularity_rank,height_min_cm,height_max_cm,weight_min_kg,weight_max_kg,life_expectancy_min,life_expectancy_max,size_category,energy_level,trainability,shedding_level,grooming_frequency,good_with_strangers,hypoallergenic,coat_type,image_url_1,image_url_2,origin_country,grooming_cost_tier,exercise_min_per_day,monthly_food_cost_usd,vet_cost_tier,monthly_total_cost_usd,playfulness,affection_level,intelligence,independence,barking_level,protective_instinct,separation_anxiety,good_with_kids,good_with_dogs,good_with_cats,good_with_elderly,apartment_suitable,needs_yard,heat_tolerance,cold_tolerance,urban_suitable,first_time_owner_suitable,experience_required,guard_dog,working_dog,llm_summary
American Leopard Hound,Foundation Stock Service,,53.34,68.58,20.41165665,31.751465900000003,12.0,15.0,large,4.0,5.0,3.0,3.0,3.0,0,short,https://cdn4.thedogapi.com/optimized/CoV6SyP6Hk.jpg,,United States,1,90,65,1,70,4,3,4,3,4,3,2,1,1,0,0,0,1,4,4,0,0,2,0,0,"The American Leopard Hound is an energetic, intelligent hunting dog bred for versatility with various game species. This breed excels in extreme weather and requires experienced handlers who can provide extensive exercise and outdoor space. Not suitable for apartment living or first-time dog owners."
American Staffordshire Terrier,Terrier Group,85,43.18,48.26,18.1436948,31.751465900000003,12.0,16.0,large,3.0,3.0,3.0,2.0,3.0,0,short,https://cdn2.thedogapi.com/images/rJIakgc4m_1280.jpg,,United States,1,60,55,2,60,4,4,3,2,3,4,3,1,0,0,1,1,1,3,2,1,0,3,1,0,"American Staffordshire Terriers are confident, affectionate dogs with strong protective instincts that require experienced owners and proper socialization. They are unsuitable for homes with other dogs or cats due to their prey drive and dog-aggressive tendencies. These powerful dogs thrive with firm, consistent training and dedicated owners who understand their needs."
American Water Spaniel,Sporting Group,166,38.1,45.72,11.33980925,20.41165665,10.0,14.0,medium,3.0,5.0,2.0,3.0,4.0,1,curly,https://cdn2.thedogapi.com/images/SkmRJl9VQ_1280.jpg,,"Wisconsin, United States",3,60,50,1,90,4,4,5,2,2,2,3,1,1,1,1,1,1,4,4,1,1,1,0,0,"The American Water Spaniel is an intelligent, eager, and hypoallergenic breed ideal for families and first-time owners. They excel in water activities and require regular grooming due to their curly coat. These versatile spaniels are good with children, other dogs, and cats, making them excellent family companions."
Anatolian Shepherd Dog,Working Group,90,68.58,73.66,36.2873896,68.0388555,11.0,13.0,giant,3.0,3.0,3.0,3.0,3.0,0,medium,https://cdn4.thedogapi.com/optimized/wgwRfjm7ZK.jpg,,Australia,2,75,80,2,100,2,3,3,4,3,5,2,0,0,0,0,0,1,4,4,0,0,3,1,1,"Anatolian Shepherds are large, independent livestock guardian dogs with strong protective instincts and ancient bloodlines. They require experienced owners, extensive space, and are unsuitable for families with children or other pets. These powerful dogs are best suited as working dogs on large properties rather than family companions."
Appenzeller Sennenhund,Foundation Stock Service,,48.26,55.88,21.77243376,31.751465900000003,12.0,15.0,large,5.0,2.0,4.0,3.0,3.0,0,double,https://cdn2.thedogapi.com/images/HkNkxlqEX_1280.jpg,,"Appenzell region, Switzerland",2,100,60,1,75,5,3,4,3,4,4,3,1,1,0,0,0,1,3,4,0,0,2,1,0,"The Appenzeller Sennenhund is a high-energy, lively mountain dog with strong working instincts and watchdog tendencies. This breed is unsuitable for apartment living and requires extensive daily exercise and experienced handlers. They thrive in rural settings with families who can meet their demanding physical and mental stimulation needs."
Australian Cattle Dog,Herding Group,55,43.18,50.8,15.875732950000002,22.6796185,12.0,16.0,medium,5.0,2.0,4.0,2.0,3.0,0,double,https://cdn2.thedogapi.com/images/kzcMOroSg.jpg,https://cdn2.thedogapi.com/images/oTWQDw9C9.jpg,Australia,1,120,50,1,55,4,3,5,3,4,3,3,0,0,0,0,0,1,4,3,0,0,2,0,1,Australian Cattle Dogs are intensely energetic and highly intelligent herding dogs requiring extensive daily exercise and experienced handlers. Their strong herding drive and nipping behavior make them unsuitable for families with children or other pets. These dogs thrive in active rural environments where they can work and exercise extensively.
Australian Kelpie,Foundation Stock Service,,43.18,50.8,,,10.0,13.0,medium,4.0,5.0,4.0,3.0,3.0,0,short,https://cdn2.thedogapi.com/images/Hyq1ge9VQ_1280.jpg,,Australia,1,120,45,1,50,4,3,5,3,3,2,2,0,1,0,0,0,1,5,2,0,0,2,0,0,"The Australian Kelpie is an extremely intelligent and energetic herding dog with unlimited working capacity bred for harsh Australian conditions. They require experienced handlers, extensive daily exercise, and are unsuitable for families with young children. These dogs excel as working partners on farms and require significant mental and physical stimulation."
Australian Shepherd,Herding Group,17,45.72,58.42,18.1436948,29.48350405,12.0,15.0,large,4.0,5.0,3.0,3.0,3.0,0,medium,https://cdn2.thedogapi.com/images/B1-llgq4m_1280.jpg,,Western United States,2,90,55,1,75,4,4,5,2,3,3,3,1,1,1,1,0,1,3,4,0,0,2,0,1,"Australian Shepherds are intelligent, exuberant herding dogs with strong work drive and an irresistible impulse to herd everything. They require extensive daily exercise and are unsuitable for sedentary owners or apartment living. These remarkably smart dogs thrive with active families who can provide consistent training, mental stimulation, and outdoor space."
Australian Stumpy Tail Cattle Dog,Foundation Stock Service,,43.18,50.8,14.51495584,20.41165665,12.0,15.0,medium,4.0,4.0,3.0,3.0,3.0,0,double,https://cdn4.thedogapi.com/optimized/wgwRfjm7ZK.jpg,,Australia,1,90,50,1,55,4,3,4,3,3,3,2,0,0,0,0,0,1,4,3,0,0,2,0,0,"The Australian Stumpy Tail Cattle Dog is an alert and trainable working dog with a natural bob tail and strong herding instincts. They require experienced handlers, extensive exercise, and are unsuitable for families with children or apartment living. These active, comical dogs thrive in rural working environments with plenty of space and mental stimulation."
Australian Terrier,Terrier Group,140,25.4,27.94,6.80388555,9.0718474,11.0,15.0,medium,4.0,3.0,2.0,3.0,4.0,0,wire,https://cdn2.thedogapi.com/images/r1Ylge5Vm_1280.jpg,,Australia,2,45,35,1,50,4,4,3,3,4,3,3,1,0,0,1,1,0,3,2,1,1,1,0,0,"Australian Terriers are small, sturdy, affectionate terriers with alert watchdog instincts and keen intelligence. They are suitable for apartments and first-time owners with moderate exercise needs and spirited personalities. These dogs are good with children and elderly people but may not be suitable for homes with other pets due to prey drive."
Azawakh,Hound Group,of,59.69,73.66,14.968548210000002,24.947580350000003,12.0,15.0,medium,3.0,3.0,3.0,3.0,4.0,0,short,https://cdn2.thedogapi.com/images/SkvZgx94m_1280.jpg,,"West Africa (Sahel region: Mali, Niger, Burkina Faso)",1,60,35,1,40,3,4,3,4,2,2,2,1,1,0,0,0,1,4,2,0,0,2,0,0,"The Azawakh is an elegant, independent sighthound bred for hunting and speed, requiring extensive exercise and a secure yard. This breed is deeply loyal to family but aloof with strangers and needs experienced owners who understand independent hound temperament."
Barbet,Sporting Group,of,48.26,62.23,15.875732950000002,29.48350405,12.0,14.0,large,3.0,3.0,2.0,3.0,4.0,1,curly,https://cdn2.thedogapi.com/images/HyWGexcVQ_1280.jpg,,France,3,60,45,2,100,4,4,4,3,2,2,3,1,1,1,1,1,1,3,3,1,1,1,0,0,"The Barbet is a friendly, intelligent sporting dog with a hypoallergenic curly coat that requires professional grooming. This breed excels as a family companion, good with children and other pets, and adapts well to various living situations."
Basenji,Hound Group,87,40.64,43.18,9.97903214,10.88621688,13.0,14.0,medium,4.0,3.0,3.0,2.0,3.0,0,short,https://cdn2.thedogapi.com/images/H1dGlxqNQ_1280.jpg,,Central Africa,1,45,30,1,35,4,3,4,4,1,2,2,1,0,0,0,0,1,4,2,0,0,2,0,0,"The Basenji is a unique small hound famous for not barking, with an independent and aloof temperament requiring experienced owners. This breed needs significant exercise and is best suited to homes without other pets or young children."
Basset Fauve de Bretagne,Foundation Stock Service,,31.75,39.37,12.24699399,15.875732950000002,12.0,12.0,medium,3.0,2.0,3.0,3.0,5.0,0,wire,https://cdn4.thedogapi.com/optimized/zG2TentNGH.jpg,,"Brittany, France",2,45,32,1,55,4,4,3,3,3,2,2,1,1,1,1,1,1,3,3,1,1,1,0,0,"The Basset Fauve de Bretagne is a small, energetic hunting hound that bonds well with families and pets with proper socialization. This breed is cheerful and determined, though they will chase small animals and require consistent training."
Basset Hound,Hound Group,39,38.1,38.1,18.1436948,29.48350405,12.0,13.0,large,2.0,3.0,3.0,3.0,4.0,0,short,https://cdn2.thedogapi.com/images/Sy57xx9EX_1280.jpg,,France,2,30,40,2,70,2,4,3,2,3,1,3,1,1,0,1,1,1,3,2,1,1,1,0,0,"The Basset Hound is a charming, low-energy companion known for its exceptional scenting ability and patient temperament. This breed is good with families and children but requires regular ear cleaning and can have joint health issues due to its body structure."
Bavarian Mountain Scent Hound,Foundation Stock Service,,43.18,52.07,16.78291769,29.937096420000003,12.0,15.0,large,3.0,3.0,4.0,3.0,3.0,0,double,https://cdn4.thedogapi.com/optimized/T4g4ZPPgnP.jpg,,"Bavaria, Germany",2,50,45,2,75,3,4,4,3,2,3,2,1,1,1,1,0,1,2,4,0,1,1,1,0,"The Bavarian Mountain Scent Hound is a devoted, loyal tracker bred for hunting and requires an experienced owner familiar with active hound breeds. This breed is reserved with strangers and prefers family-oriented environments with adequate space."
Beagle,Hound Group,6,33.02,38.1,5.8967008100000005,13.6077711,10.0,15.0,medium,4.0,3.0,3.0,3.0,4.0,0,short,https://cdn2.thedogapi.com/images/Syd4xxqEm_1280.jpg,,England,1,45,32,2,45,4,4,3,3,4,1,3,1,1,0,1,0,1,3,2,0,1,1,0,0,"The Beagle is a friendly, merry hunting hound that thrives in family settings with adequate exercise and space. This breed can be stubborn and vocal, with a strong prey drive that makes them unsuitable for homes with cats."
Bearded Collie,Herding Group,127,50.8,55.88,20.41165665,24.947580350000003,12.0,14.0,medium,3.0,3.0,3.0,4.0,5.0,0,double,https://cdn2.thedogapi.com/images/UZtLVvNhE.jpg,https://cdn2.thedogapi.com/images/ssY_amKgW.jpg,Scotland,3,60,50,1,120,5,4,4,3,3,2,3,1,1,1,0,0,1,2,4,0,0,2,0,1,"The Bearded Collie is a rambunctious, energetic herding dog that requires experienced owners and substantial daily exercise. This breed is charismatic and affectionate with families but needs consistent training and significant grooming commitment."
Beauceron,Herding Group,124,60.96,69.85,31.751465900000003,49.895160700000005,10.0,12.0,giant,5.0,4.0,5.0,3.0,3.0,0,double,https://cdn2.thedogapi.com/images/HJQ8ge5V7_1280.jpg,,France,2,90,65,2,95,3,4,4,2,2,4,2,1,1,1,1,0,1,2,4,0,0,3,1,1,"The Beaucerons is a large, muscular working dog requiring experienced owners familiar with herding and protection breeds. This powerful breed is loyal and trainable but needs extensive exercise, socialization, and a firm hand."
Bedlington Terrier,Terrier Group,141,38.1,44.45,7.71107029,10.43262451,11.0,16.0,medium,4.0,3.0,,3.0,3.0,0,curly,https://cdn2.thedogapi.com/images/ByK8gx947_1280.jpg,,England (Northumberland),3,50,35,2,90,4,4,4,3,2,2,3,1,0,0,0,1,1,3,3,1,1,2,0,0,"The Bedlington Terrier is a charming, energetic dog with unique lamb-like appearance and surprising athleticism. This breed is family-oriented and affectionate but requires professional grooming and is best as the only pet."
Belgian Laekenois,Miscellaneous Class,,55.88,66.04,24.947580350000003,29.48350405,10.0,12.0,large,4.0,4.0,4.0,3.0,3.0,0,wire,,,Belgium,2,90,85,2,140,4,4,4,3,3,4,3,1,1,0,0,0,1,3,4,0,0,3,1,0,"The Belgian Laekenois is a rare, protective herding dog requiring experienced owners and substantial daily exercise. Best suited for active families with secure yards and prior dog experience."
Belgian Malinois,Herding Group,43,55.88,66.04,18.1436948,36.2873896,14.0,16.0,large,4.0,4.0,3.0,3.0,3.0,0,short,https://cdn2.thedogapi.com/images/r1f_ll5VX_1280.jpg,,Belgium,1,120,90,2,125,4,4,5,4,3,4,2,1,1,0,0,0,1,4,3,0,0,3,1,1,"The Belgian Malinois is an extremely intelligent and hardworking herding dog requiring experienced handlers and intensive daily exercise. Ideal for active families or working roles, not suitable for first-time owners."
Belgian Sheepdog,Herding Group,125,55.88,66.04,20.41165665,34.01942775,12.0,14.0,large,4.0,4.0,3.0,3.0,3.0,0,long,,,,2,110,85,2,135,4,4,4,3,3,4,3,1,1,0,0,0,1,3,4,0,0,3,1,1,The Belgian Sheepdog is an elegant and intelligent working dog requiring experienced owners and active lifestyles. Best suited for families with yards and substantial time for training and exercise.
Belgian Tervuren,Herding Group,106,55.88,66.04,20.41165665,34.01942775,12.0,14.0,large,4.0,4.0,3.0,3.0,3.0,0,long,https://cdn2.thedogapi.com/images/B1KdxlcNX_1280.jpg,,Belgium,2,110,85,2,135,4,4,4,3,3,4,3,1,1,0,0,0,1,3,4,0,0,3,1,1,"The Belgian Tervuren is a courageous, highly intelligent herding dog with high work drive requiring experienced owners. Needs active families, extensive daily exercise, and creative engagement."
Bergamasco Sheepdog,Herding Group,187,55.88,59.69,25.85476509,38.10175908,13.0,15.0,large,3.0,3.0,2.0,2.0,3.0,0,long,,,Italian Alps,2,90,80,1,130,3,3,4,4,2,3,2,1,1,1,0,0,1,2,5,0,0,2,0,1,"The Bergamasco Sheepdog is an ancient, independent working dog with a unique matted coat adapted for cold alpine climates. Best suited for experienced owners with space and a genuine appreciation for their singular coat care needs."
Berger Picard,Herding Group,144,54.61,64.77,22.6796185,31.751465900000003,12.0,13.0,large,5.0,4.0,3.0,2.0,3.0,0,medium,,,"Picardy, France",1,120,75,1,105,4,4,4,3,3,3,2,1,1,0,0,0,1,3,4,0,0,2,0,1,"The Berger Picard is a rugged, athletic herding dog ideal for active owners who enjoy outdoor pursuits. Loyal and observant, they require significant daily exercise and thrive with experienced handlers."
Bernese Mountain Dog,Working Group,22,58.42,69.85,31.751465900000003,52.16312255,7.0,10.0,giant,4.0,4.0,5.0,3.0,3.0,0,long,https://cdn2.thedogapi.com/images/S1fFlx5Em_1280.jpg,,Switzerland,2,90,100,2,150,3,4,4,2,2,3,3,1,1,1,1,0,1,2,5,0,1,1,0,1,"The Bernese Mountain Dog is a good-natured, calm working dog that thrives in cold climates and makes an excellent family companion. They are generally suitable for first-time owners and good with children and the elderly."
Bichon Frise,Non-Sporting Group,46,24.13,29.21,5.4431084400000005,8.164662660000001,14.0,15.0,small,3.0,3.0,2.0,5.0,5.0,1,curly,https://cdn2.thedogapi.com/images/HkuYlxqEQ_1280.jpg,,France / Belgium,3,45,40,1,140,5,5,3,2,2,1,4,1,1,1,1,1,0,3,2,1,1,1,0,0,"The Bichon Frise is a hypoallergenic, playful companion dog perfect for apartment living and families with children. Their friendly nature and adaptability make them ideal for first-time owners, though they require regular professional grooming."
Biewer Terrier,Miscellaneous Class,,17.78,27.94,1.81436948,3.62873896,16.0,16.0,small,3.0,5.0,,3.0,5.0,0,long,https://cdn4.thedogapi.com/optimized/4YsMuwo9Qm.jpg,,"Hunsruck, Germany",3,45,35,1,120,5,5,4,2,2,2,4,1,1,1,1,1,0,3,2,1,1,1,0,0,"The Biewer Terrier is a devoted, playful companion with a larger-than-life personality despite small stature. Excellent for families and apartment living, they require regular grooming and are highly trainable for first-time owners."
Black and Tan Coonhound,Hound Group,138,58.42,68.58,29.48350405,49.895160700000005,10.0,12.0,giant,3.0,3.0,3.0,3.0,4.0,0,short,https://cdn2.thedogapi.com/images/HJAFgxcNQ_1280.jpg,,United States,1,90,70,2,105,3,4,3,3,4,2,3,1,1,0,0,0,1,4,3,0,1,1,0,0,"The Black and Tan Coonhound is an easy-going, sociable hound with strong tracking instincts and a loud bay. Well-suited for active families, they need space, exercise, and tolerance for their vocal nature."
Black Russian Terrier,Working Group,118,66.04,76.2,36.2873896,58.9670081,10.0,12.0,giant,4.0,4.0,3.0,4.0,3.0,0,double,,,Russia,3,90,120,2,180,3,3,4,3,3,5,2,1,0,0,0,0,1,2,5,0,0,3,1,1,"The Black Russian Terrier is a massive, powerful guard dog bred for cold climates and protection work. They require experienced owners who can provide firm training, socialization, and significant space. This breed is best suited for experienced handlers with security-focused needs and rural settings."
Bloodhound,Hound Group,49,58.42,68.58,36.2873896,49.895160700000005,10.0,12.0,giant,3.0,3.0,3.0,3.0,3.0,0,short,https://cdn2.thedogapi.com/images/Skdcgx9VX_1280.jpg,,Belgium,1,60,100,2,130,3,4,4,4,4,2,2,1,1,0,1,0,1,3,2,0,1,1,0,0,"Bloodhounds are easygoing, friendly pack dogs with exceptional scenting abilities and a distinctive wrinkled appearance. They require moderate exercise and do well with families and other dogs, though their independent streak and strong prey drive need experienced handling. These dogs are best suited for homes with space and owners who appreciate their unique tracking talents."
Bluetick Coonhound,Hound Group,130,53.34,68.58,20.41165665,36.2873896,11.0,12.0,large,4.0,3.0,3.0,3.0,4.0,0,short,https://cdn2.thedogapi.com/images/rJxieg9VQ_1280.jpg,,United States,1,90,80,1,110,4,4,3,4,5,1,2,1,1,0,0,0,1,4,3,0,0,2,0,0,"Bluetick Coonhounds are energetic, devoted hunters with a distinctive mottled coat and loud, vocal nature that makes them better suited for rural settings. They require substantial exercise and space to roam, and their strong prey drive and barking make them unsuitable for apartments or noise-sensitive neighborhoods. Best matched with active owners who appreciate hunting dogs and can provide proper outlets for their energy."
Boerboel,Working Group,121,55.88,68.58,68.0388555,90.718474,9.0,11.0,giant,3.0,3.0,3.0,2.0,3.0,0,short,https://cdn2.thedogapi.com/images/HyOjge5Vm_1280.jpg,,South Africa,1,75,130,2,160,2,3,4,4,2,5,2,0,0,0,0,0,1,4,3,0,0,3,1,1,"The Boerboel is an agile, powerful mastiff-type breed with strong protective instincts and confident temperament. They require experienced owners with the ability to provide firm training, early socialization, and secure containment. This breed is best suited for owners with security needs and large properties, not for first-time dog owners or families with young children."
Bohemian Shepherd,Foundation Stock Service,,49.022000000000006,55.118,16.78291769,27.2155422,12.0,15.0,large,3.0,4.0,3.0,2.0,3.0,0,double,https://cdn4.thedogapi.com/optimized/G7Ja3j7xAo.jpg,,Czech Republic,2,80,90,1,130,4,4,4,2,3,3,3,1,1,1,1,0,1,3,4,0,1,1,0,0,"The Bohemian Shepherd is a versatile, intelligent and devoted family companion excelling in various dog sports and working roles. They are friendly, alert, and energetic dogs that thrive with active families and benefit from meaningful work or training activities. These dogs make excellent family pets for owners willing to provide consistent exercise and mental stimulation."
Bolognese,Foundation Stock Service,,25.4,30.48,2.4947580350000003,4.082331330000001,12.0,14.0,small,3.0,3.0,2.0,3.0,4.0,1,curly,,,"Bologna, Italy",3,30,50,1,110,4,5,3,1,2,1,4,1,1,1,1,1,0,3,2,1,1,1,0,0,"The Bolognese is a small, devoted companion dog that thrives on close human contact and is best suited for owners who can spend significant time at home. Their separation anxiety and need for constant companionship make them unsuitable for working professionals with long daily absences. They excel as lap dogs for retirees, stay-at-home parents, or those seeking a devoted, affectionate small breed."
Border Collie,Herding Group,35,45.72,55.88,13.6077711,24.947580350000003,12.0,15.0,medium,5.0,5.0,3.0,3.0,3.0,0,double,https://cdn2.thedogapi.com/images/x6uo30K-M.jpg,https://cdn2.thedogapi.com/images/38KoA9gGB.jpg,Anglo-Scottish border region,2,120,85,1,125,5,5,5,3,2,2,3,1,1,1,0,0,1,2,4,0,0,2,0,1,"Border Collies are highly intelligent, energetic herding dogs that excel in dog sports and require substantial daily exercise and mental stimulation. They are best suited for experienced, active owners who can provide demanding work or training activities. Without adequate outlets for their physical and mental energy, they can develop destructive behaviors."
Border Terrier,Terrier Group,88,30.48,38.1,5.216312255,7.030681735,12.0,15.0,small,3.0,4.0,3.0,3.0,4.0,0,wire,https://cdn2.thedogapi.com/images/HJOpge9Em_1280.jpg,,Border regions between England and Scotland,2,60,40,1,80,4,4,4,3,3,2,2,1,1,0,1,1,0,3,3,1,1,1,0,0,"Border Terriers are compact, affectionate, and trainable companions with a distinctive otter-shaped head and wire coat. They are good-natured and energetic dogs suitable for families with adequate exercise and socialization. These dogs adapt well to various living situations including apartments, making them versatile pets for first-time owners."
Borzoi,Hound Group,103,66.04,71.12,27.2155422,47.62719885,9.0,14.0,giant,4.0,3.0,3.0,3.0,3.0,0,long,,,Russia,3,60,110,2,170,2,4,3,4,1,1,2,1,0,0,1,0,1,2,4,0,0,2,0,0,"The Borzoi is an elegant, large sighthound with a luxurious coat and independent, dignified temperament that can be stubborn. They require patient, consistent training and significant space due to their prey drive and exercise needs. These aristocratic dogs are best suited for experienced owners who appreciate their unique personality and can meet their grooming and activity requirements."
Boston Terrier,Non-Sporting Group,21,38.1,43.18,5.4431084400000005,11.33980925,11.0,13.0,medium,3.0,5.0,2.0,3.0,5.0,0,short,https://cdn2.thedogapi.com/images/rkZRggqVX_1280.jpg,,"Boston, Massachusetts, United States",1,45,35,2,75,4,4,5,2,3,2,3,1,1,1,1,1,0,3,2,1,1,1,0,0,"Boston Terriers are compact, friendly, and highly trainable companion dogs known for their affectionate and amusing personalities. They adapt well to apartment living and are excellent for first-time owners and families of all ages. Their minimal exercise needs and social nature make them versatile urban pets with modest grooming requirements."
Bouvier des Flandres,Herding Group,84,59.69,69.85,31.751465900000003,49.895160700000005,10.0,12.0,giant,4.0,3.0,3.0,4.0,3.0,0,double,https://cdn2.thedogapi.com/images/Byd0xl5VX_1280.jpg,,Belgium (Flanders region),3,60,120,2,180,3,4,4,3,3,4,3,1,1,0,0,0,1,2,5,0,0,2,1,1,"Bouviers are large, powerful herding dogs with strong work ethic and protective instincts that require experienced owners and ample space. They excel as family guardians and need significant daily exercise and mental stimulation. Best suited for rural settings or homes with yards."
Boxer,Working Group,11,54.61,63.5,6.80388555,36.2873896,10.0,12.0,large,4.0,4.0,3.0,3.0,5.0,0,short,https://cdn2.thedogapi.com/images/ry1kWe5VQ_1280.jpg,,Germany,1,60,100,2,120,5,5,4,2,3,4,4,1,1,0,0,0,1,3,2,0,0,2,1,1,"Boxers are energetic, affectionate athletes that thrive with active families and need consistent training and socialization. They are playful with children and protective of their family, but require substantial daily exercise. Their short coat needs minimal grooming, making maintenance relatively easy."
