breed_name,description,temperament,popularity_rank,height_min_cm,height_max_cm,weight_min_kg,weight_max_kg,life_expectancy_min,life_expectancy_max,akc_group,dog_api_id,coat_type,origin_country,energy_level,trainability,shedding_level,grooming_frequency,good_with_strangers,size_category,working_dog,image_url_1,image_url_2,hypoallergenic,grooming_cost_tier,exercise_min_per_day,monthly_food_cost_usd,vet_cost_tier,monthly_total_cost_usd,playfulness,affection_level,intelligence,independence,barking_level,protective_instinct,separation_anxiety,good_with_kids,good_with_dogs,good_with_cats,good_with_elderly,apartment_suitable,needs_yard,heat_tolerance,cold_tolerance,urban_suitable,first_time_owner_suitable,experience_required,guard_dog,llm_summary
American Leopard Hound,"The American Leopard Hound is a medium to large size dog and comes in three patterns: Solid, Leopard and Brindle; nine different official colors; and a variety of markings, however, sixty percent of all American Leopards are solid-colored dogs. The breed is very versatile in hunting a variety of game species including, but not limited to, raccoon, bear, bobcat, cougar, squirrel, and any other tree-minded game. As an especially tough breed, they also fare exceptionally well in extreme weather, both hot and cold. The American Leopard was officially organized and named the American Leopard Cur in 1960, but changed by the breed club members to the American Leopard Hound on May 1, 2008, years before coming to the American Kennel Club. Breed ContactName: Jackie CarpenterEmail: plott_dog@yahoo.com Intelligence is one of the American Leopard Hound's very best attributes. The breed is loving and affectionate toward their family and they are extremely protective of children. American Leopards are one of the oldest tree dog breeds in the U.S. and have extremely strong tracking abilities, often able to track prey for miles.","Sociable, Energetic, Intelligent",,53.34,68.58,20.41165665,31.751465900000003,12.0,15.0,Foundation Stock Service,354,short,United States,4.0,5.0,3.0,3.0,3.0,large,0,https://cdn4.thedogapi.com/optimized/CoV6SyP6Hk.jpg,,0,1,90,65,1,70,4,3,4,3,4,3,2,1,1,0,0,0,1,4,4,0,0,2,0,"The American Leopard Hound is an energetic, intelligent hunting dog bred for versatility with various game species. This breed excels in extreme weather and requires experienced handlers who can provide extensive exercise and outdoor space. Not suitable for apartment living or first-time dog owners."
American Staffordshire Terrier,"AmStaffs are stocky, muscular bull-type terriers standing 17 to 19 inches at the shoulder. The head is broad, the jaws well defined, the cheekbones pronounced, and the dark, round eyes are set wide apart. AmStaff movement is agile and graceful, with a springy gait that advertises the breed’s innate confidence. The stiff, glossy coat comes in many colors and patterns. AmStaffers describe their dogs as keenly aware of their surroundings, game for anything, and lovable “personality dogs” around the house. AmStaffs like mental and physical challenges. They are highly trainable, as their many forays into showbiz suggest. When acquiring an AmStaff, there’s only one way to go: Do your homework and find a responsible AKC breeder. The American Staffordshire Terrier, known to their fans as AmStaffs, are smart, confident, good-natured companions. Their courage is proverbial. A responsibly bred, well-socialized AmStaff is a loyal, trustworthy friend to the end.","Confident, Smart, Good-Natured",85,43.18,48.26,18.1436948,31.751465900000003,12.0,16.0,Terrier Group,16,short,United States,3.0,3.0,3.0,2.0,3.0,large,0,https://cdn2.thedogapi.com/images/rJIakgc4m_1280.jpg,,0,1,60,55,2,60,4,4,3,2,3,4,3,1,0,0,1,1,1,3,2,1,0,3,1,"American Staffordshire Terriers are confident, affectionate dogs with strong protective instincts that require experienced owners and proper socialization. They are unsuitable for homes with other dogs or cats due to their prey drive and dog-aggressive tendencies. These powerful dogs thrive with firm, consistent training and dedicated owners who understand their needs."
American Water Spaniel,"American Water Spaniels are muscular midsize gundogs, not flashy in looks or performance, and recognizable by a luscious brown coat that is either tightly curled or wavy. Bred to work the icy waters and marshy banks of the Great Lakes region, these spaniels are ideally outfitted for the job: The coat is dense and waterproof, the feet are thickly padded, the toes are webbed, and the body is small enough for the dog to hop in and out of a skiff without rocking the boat. The breed’s admirers describe a merry, intelligent, and versatile spaniel suited to a variety of dog sports. As hunters, they combine the working traits of spaniels and retrievers. The key to the American Water Spaniel’s happiness is activity, especially alongside their adored human. An underemployed dog can be barky and destructive. The American Water Spaniel, native to the lake country of the upper Midwest, is an upbeat, outdoorsy athlete who loves to hunt and swim. They are known to be happy, eager, and charming, though aloof with strangers and a bit stubborn.","Eager, Happy, Charming",166,38.1,45.72,11.33980925,20.41165665,10.0,14.0,Sporting Group,17,curly,"Wisconsin, United States",3.0,5.0,2.0,3.0,4.0,medium,0,https://cdn2.thedogapi.com/images/SkmRJl9VQ_1280.jpg,,1,3,60,50,1,90,4,4,5,2,2,2,3,1,1,1,1,1,1,4,4,1,1,1,0,"The American Water Spaniel is an intelligent, eager, and hypoallergenic breed ideal for families and first-time owners. They excel in water activities and require regular grooming due to their curly coat. These versatile spaniels are good with children, other dogs, and cats, making them excellent family companions."
Anatolian Shepherd Dog,"The Anatolian Shepherd Dog stands between 27 and 29 inches at the shoulder and can weigh as much as 150 pounds. Profusely muscled but nimble afoot, Anatolians are more than a match for the predators and harsh terrain of their homeland. Anatolians descend from some of the oldest known domestic-canine bloodlines. This lends the breed a sense of timelessness, a no-frills, untouched quality that takes us back 6,000 years to the Bronze Age.Anatolians are smart, devoted, responsive, and adaptable. They will protect their flock—livestock, children, smaller dogs, even the family cat—with intensity. Anatolian owners must be strong leaders, willing and able to handle a dog as dominating and demanding as he is calm and loving. An Anatolian Shepherd Dog is a rugged, imposing flock guardian of ancient lineage. Protective and territorial, but also intelligent, patient, and profoundly loyal, these muscular avengers are prized as working guard dogs without equal.","Loyal, Independent, Reserved",90,68.58,73.66,36.2873896,68.0388555,11.0,13.0,Working Group,363,medium,Australia,3.0,3.0,3.0,3.0,3.0,giant,1,https://cdn4.thedogapi.com/optimized/wgwRfjm7ZK.jpg,,0,2,75,80,2,100,2,3,3,4,3,5,2,0,0,0,0,0,1,4,4,0,0,3,1,"Anatolian Shepherds are large, independent livestock guardian dogs with strong protective instincts and ancient bloodlines. They require experienced owners, extensive space, and are unsuitable for families with children or other pets. These powerful dogs are best suited as working dogs on large properties rather than family companions."
Appenzeller Sennenhund,"The Appenzeller Sennenhund is also known as the Appenzeller Mountain Dog or Appenzell Cattle Dog. He is lively, high-spirited, self-assured, reliable, and fearless. Slightly suspicious of strangers, he is a good watchdog who cannot be bribed. The breed’s intelligence make them highly capable learners. Due to his personality and exercise needs, he is ill-suited to apartment living. The Appenzeller Sennenhund is tri-color, medium-sized, and almost squarely built and balanced. He is muscular and agile and makes a good driving, watch, guard, house or farm dog. Due to their versatility and willingness, they excel in agility, obedience, herding and search and rescue.","Agile, Versatile, Lively",,48.26,55.88,21.77243376,31.751465900000003,12.0,15.0,Foundation Stock Service,19,double,"Appenzell region, Switzerland",5.0,2.0,4.0,3.0,3.0,large,0,https://cdn2.thedogapi.com/images/HkNkxlqEX_1280.jpg,,0,2,100,60,1,75,5,3,4,3,4,4,3,1,1,0,0,0,1,3,4,0,0,2,1,"The Appenzeller Sennenhund is a high-energy, lively mountain dog with strong working instincts and watchdog tendencies. This breed is unsuitable for apartment living and requires extensive daily exercise and experienced handlers. They thrive in rural settings with families who can meet their demanding physical and mental stimulation needs."
Australian Cattle Dog,"Standing between 17 to 20 inches at the shoulder, the Australian Cattle Dog is a sturdy, hard-muscled herder of strength and agility. The ACD is born with a white coat that turns blue-gray or red. Both coat varieties feature distinctive mottling or specking patterns. ACDs have immense work drive and excel at hunting, chasing, and, of course, moving livestock. Their boundless energy and supple gait make them excellent running partners.ACDs are true-blue loyal, famously smart, ever alert, and wary of strangers. If an ACD isn’t challenged, he easily becomes bored and gets into mischief. It is recommended that ACD owners participate with their dog in some work, sport, or regular exercise to keep him mentally and physically fit. The compact but muscular Australian Cattle Dog, also called Blue Heeler or Queensland Heeler, is related to Australia’s famous wild dog, the Dingo. These resilient herders are intelligent enough to routinely outsmart their owners.","Alert, Curious, Pleasant",55,43.18,50.8,15.875732950000002,22.6796185,12.0,16.0,Herding Group,21,double,Australia,5.0,2.0,4.0,2.0,3.0,medium,1,https://cdn2.thedogapi.com/images/kzcMOroSg.jpg,https://cdn2.thedogapi.com/images/oTWQDw9C9.jpg,0,1,120,50,1,55,4,3,5,3,4,3,3,0,0,0,0,0,1,4,3,0,0,2,0,Australian Cattle Dogs are intensely energetic and highly intelligent herding dogs requiring extensive daily exercise and experienced handlers. Their strong herding drive and nipping behavior make them unsuitable for families with children or other pets. These dogs thrive in active rural environments where they can work and exercise extensively.
Australian Kelpie,"As a herding dog, the Australian Kelpie is intensely loyal and devoted to duty. He has a natural instinct and aptitude for working in sheep, whether it be in open fields or enclosed yards. This breed originated from Collie type dogs imported from Scotland, but was developed to withstand the harsh heat and dry conditions of the vast open spaces of Australia. The Australian Kelpie is a lithe, active dog, capable of untiring work. He is extremely intelligent, alert, and eager with unlimited energy.","Loyal, Alert, Intelligent",,43.18,50.8,,,10.0,13.0,Foundation Stock Service,22,short,Australia,4.0,5.0,4.0,3.0,3.0,medium,0,https://cdn2.thedogapi.com/images/Hyq1ge9VQ_1280.jpg,,0,1,120,45,1,50,4,3,5,3,3,2,2,0,1,0,0,0,1,5,2,0,0,2,0,"The Australian Kelpie is an extremely intelligent and energetic herding dog with unlimited working capacity bred for harsh Australian conditions. They require experienced handlers, extensive daily exercise, and are unsuitable for families with young children. These dogs excel as working partners on farms and require significant mental and physical stimulation."
Australian Shepherd,"The Australian Shepherd, the cowboy’s herding dog of choice, is a medium-sized worker with a keen, penetrating gaze in the eye. Aussie coats offer different looks, including merle (a mottled pattern with contrasting shades of blue or red). In all ways, they’re the picture of rugged and agile movers of stock. Aussies exhibit an irresistible impulse to herd, anything: birds, dogs, kids. This strong work drive can make Aussies too much dog for a sedentary pet owner. Aussies are remarkably intelligent, quite capable of hoodwinking an unsuspecting novice owner. In short, this isn’t the pet for everyone. But if you’re looking for a brainy, tireless, and trainable partner for work or sport, your search might end here. The Australian Shepherd, a lean, tough ranch dog, is one of those “only in America” stories: a European breed perfected in California by way of Australia. Fixtures on the rodeo circuit, they are closely associated with the cowboy life.","Smart, Work-Oriented, Exuberant",17,45.72,58.42,18.1436948,29.48350405,12.0,15.0,Herding Group,23,medium,Western United States,4.0,5.0,3.0,3.0,3.0,large,1,https://cdn2.thedogapi.com/images/B1-llgq4m_1280.jpg,,0,2,90,55,1,75,4,4,5,2,3,3,3,1,1,1,1,0,1,3,4,0,0,2,0,"Australian Shepherds are intelligent, exuberant herding dogs with strong work drive and an irresistible impulse to herd everything. They require extensive daily exercise and are unsuitable for sedentary owners or apartment living. These remarkably smart dogs thrive with active families who can provide consistent training, mental stimulation, and outdoor space."
Australian Stumpy Tail Cattle Dog,"The Australian Stumpy Tail Cattle Dog is not an Australian Cattle Dog with a docked tail. There are major structural differences in breed type between the two breeds of cattle dogs. Stumpy Tail Cattle Dogs are a natural bob-tail breed. Some Stumpy Tail pups are born with long tails and should not be discarded from a breeding program if they are of structural quality, but rather bred back to quality natural bob tails. Australian Stumpy Tail Cattle Dog Society of the United StatesDenyse Adams: chredacds8@gmail.comLori Graham: lgraham1145@yahoo.comKim McDonald: breezyacresstumpies@gmail.comKevin Nicholson: nicholson.klnicholson@gmail.com The Australian Stumpy Tail Cattle Dog is not an Australian Cattle Dog with a docked tail. He is a naturally bob-tailed breed and stands square with plenty of leg length under the body.","Alert, Trainable, Comical",,43.18,50.8,14.51495584,20.41165665,12.0,15.0,Foundation Stock Service,363,double,Australia,4.0,4.0,3.0,3.0,3.0,medium,0,https://cdn4.thedogapi.com/optimized/wgwRfjm7ZK.jpg,,0,1,90,50,1,55,4,3,4,3,3,3,2,0,0,0,0,0,1,4,3,0,0,2,0,"The Australian Stumpy Tail Cattle Dog is an alert and trainable working dog with a natural bob tail and strong herding instincts. They require experienced handlers, extensive exercise, and are unsuitable for families with children or apartment living. These active, comical dogs thrive in rural working environments with plenty of space and mental stimulation."
Australian Terrier,"Australian Terriers are small but sturdy, self-confident terriers known for a longish torso, distinctive coat furnishings around the neck and forequarters, and a topknot of soft, silky hair that contrasts in texture with an otherwise harsh coat. A long neck lends a dash of elegance to this rough-and-ready terrier, and the dark eyes sparkle with a keen intelligence. Coat colors are blue-and-tan, or solid red or sandy. Aussies move with the free and easy gait of a working dog. They are alert watchdogs and said to be quick studies when training. True terriers, Aussies love digging, and the urge to chase small, furry critters has never left them. Not always a great fit in multi-dog households, Aussies want you all to themselves. The diminutive Australian Terrier is plucky, spirited, and smart—how did they fit so much dog into such a bitty package? Upbeat and lively, the self-assured Aussie approaches life with plenty of the old-time terrier curiosity and grit.","Affectionate, Courageous, Spirited",140,25.4,27.94,6.80388555,9.0718474,11.0,15.0,Terrier Group,24,wire,Australia,4.0,3.0,2.0,3.0,4.0,medium,0,https://cdn2.thedogapi.com/images/r1Ylge5Vm_1280.jpg,,0,2,45,35,1,50,4,4,3,3,4,3,3,1,0,0,1,1,0,3,2,1,1,1,0,"Australian Terriers are small, sturdy, affectionate terriers with alert watchdog instincts and keen intelligence. They are suitable for apartments and first-time owners with moderate exercise needs and spirited personalities. These dogs are good with children and elderly people but may not be suitable for homes with other pets due to prey drive."
Azawakh,"This ancient hunting hound is so lean and rangy that his bone structure and musculature can plainly be seen beneath his skin. The smooth S-shaped contours, deep chest, and aerodynamic head mark the Azwakh as a member of the sighthound family, canine sprinters that rely on keen vision and blazing speed to fix and course their prey. The ultrafine coat comes in several colors and patterns. The overall look of this leggy hound is one of elegance and fineness, but don’t be fooled: This is a tough, durable hunter who’s been chasing gazelle across the scorching sands of the Sahara for more than a thousand years. Tall and elegant, the Azawakh is a West African sighthound who originates from the countries of Burkina Faso, Mali, and Niger. The Azawakh has a short, fine coat which may come in any color or color combinations: red, clear sand to fawn, brindled, parti-color (which may be predominantly white), blue, black and brown. The head may have a black mask and there may be white markings on the legs, bib and at the tip of tail. There are no color or marking disqualifications in the breed. Befitting its heritage, the Azawakh excels as a companion, guardian and a lure courser in the United States.","Loyal, Independent, Deeply Affectionate",of,59.69,73.66,14.968548210000002,24.947580350000003,12.0,15.0,Hound Group,25,short,"West Africa (Sahel region: Mali, Niger, Burkina Faso)",3.0,3.0,3.0,3.0,4.0,medium,0,https://cdn2.thedogapi.com/images/SkvZgx94m_1280.jpg,,0,1,60,35,1,40,3,4,3,4,2,2,2,1,1,0,0,0,1,4,2,0,0,2,0,"The Azawakh is an elegant, independent sighthound bred for hunting and speed, requiring extensive exercise and a secure yard. This breed is deeply loyal to family but aloof with strangers and needs experienced owners who understand independent hound temperament."
